dataset,window_tag,hidden_tag,group_mode,ranking,split,metric,n_groups,removed_groups,remaining_groups,remaining_pct,value
FD001,W30_step1,h10,sensors,timetrust,val,rmse,15,10,5,0.3333333333333333,42.921619038188375
FD001,W30_step1,h10,sensors,timetrust,val,r2,15,10,5,0.3333333333333333,0.626085638999939
FD001,W30_step1,h10,sensors,timetrust,train,mae,15,11,4,0.26666666666666666,23.526857376098633
FD001,W30_step1,h10,sensors,timetrust,train,rmse,15,11,4,0.26666666666666666,34.16902422951049
FD001,W30_step1,h10,sensors,timetrust,train,r2,15,11,4,0.26666666666666666,0.6838403940200806
FD001,W30_step1,h10,sensors,timetrust,val,mae,15,11,4,0.26666666666666666,30.76774024963379
FD001,W30_step1,h10,sensors,timetrust,val,rmse,15,11,4,0.26666666666666666,43.87230393693013
FD001,W30_step1,h10,sensors,timetrust,val,r2,15,11,4,0.26666666666666666,0.6093382835388184
FD001,W30_step1,h10,sensors,timetrust,train,mae,15,12,3,0.2,24.961458206176758
FD001,W30_step1,h10,sensors,timetrust,train,rmse,15,12,3,0.2,35.80333652398893
FD001,W30_step1,h10,sensors,timetrust,train,r2,15,12,3,0.2,0.652873158454895
FD001,W30_step1,h10,sensors,timetrust,val,mae,15,12,3,0.2,32.67527389526367
FD001,W30_step1,h10,sensors,timetrust,val,rmse,15,12,3,0.2,45.92401481489559
FD001,W30_step1,h10,sensors,timetrust,val,r2,15,12,3,0.2,0.5719448924064636
FD001,W30_step1,h10,sensors,timetrust,train,mae,15,13,2,0.13333333333333333,24.914993286132812
FD001,W30_step1,h10,sensors,timetrust,train,rmse,15,13,2,0.13333333333333333,35.07720627972851
FD001,W30_step1,h10,sensors,timetrust,train,r2,15,13,2,0.13333333333333333,0.6668105721473694
FD001,W30_step1,h10,sensors,timetrust,val,mae,15,13,2,0.13333333333333333,33.52262496948242
FD001,W30_step1,h10,sensors,timetrust,val,rmse,15,13,2,0.13333333333333333,45.87825420593481
FD001,W30_step1,h10,sensors,timetrust,val,r2,15,13,2,0.13333333333333333,0.5727975368499756
FD001,W30_step1,h10,sensors,timetrust,train,mae,15,14,1,0.06666666666666667,33.32962417602539
FD001,W30_step1,h10,sensors,timetrust,train,rmse,15,14,1,0.06666666666666667,44.555740250362945
FD001,W30_step1,h10,sensors,timetrust,train,r2,15,14,1,0.06666666666666667,0.4624132513999939
FD001,W30_step1,h10,sensors,timetrust,val,mae,15,14,1,0.06666666666666667,44.39449691772461
FD001,W30_step1,h10,sensors,timetrust,val,rmse,15,14,1,0.06666666666666667,57.61995597162389
FD001,W30_step1,h10,sensors,timetrust,val,r2,15,14,1,0.06666666666666667,0.3261459469795227
FD001,W30_step1,h10,windows,weights,train,mae,30,0,30,1.0,21.24919891357422
FD001,W30_step1,h10,windows,weights,train,rmse,30,0,30,1.0,31.21976173754724
FD001,W30_step1,h10,windows,weights,train,r2,30,0,30,1.0,0.7360628843307495
FD001,W30_step1,h10,windows,weights,val,mae,30,0,30,1.0,28.65915298461914
FD001,W30_step1,h10,windows,weights,val,rmse,30,0,30,1.0,41.77895351766545
FD001,W30_step1,h10,windows,weights,val,r2,30,0,30,1.0,0.6457294225692749
FD001,W30_step1,h10,windows,weights,train,mae,30,1,29,0.9666666666666667,21.05055046081543
FD001,W30_step1,h10,windows,weights,train,rmse,30,1,29,0.9666666666666667,31.266838237017886
FD001,W30_step1,h10,windows,weights,train,r2,30,1,29,0.9666666666666667,0.7352663278579712
FD001,W30_step1,h10,windows,weights,val,mae,30,1,29,0.9666666666666667,28.146778106689453
FD001,W30_step1,h10,windows,weights,val,rmse,30,1,29,0.9666666666666667,41.6296714017253
FD001,W30_step1,h10,windows,weights,val,r2,30,1,29,0.9666666666666667,0.6482565999031067
